CR_Number,Sequence,Script_Path,Service,Target_Application_Name,ec2_Directory,Snaplogic_Folder,Task_Name
CHG3002872,1,https://code.bms.com/svn/repos/svn_430514_db/apac-01/rds/comm-cdw-prod-apac_01/apac_orch/trunk/apac_orch_cntl_rule_parm_dml/CNTL_RULE_PARM_1656.sql,RDS,comm-cdwmeta-prod-apac-01,,,
CHG3002872,2,https://code.bms.com/svn/repos/svn_430514_db/apac-01/rds/comm-cdw-prod-apac_01/apac_orch/trunk/apac_orch_cntl_rule_parm_dml/CNTL_RULE_PARM_1670.sql,RDS,comm-cdwmeta-prod-apac-01,,,
CHG3002872,3,https://code.bms.com/svn/repos/svn_430514_db/apac-01/rds/comm-cdw-prod-apac_01/apac_orch/branch/chg3002872/insert_apac_orch_cntl_rule_type_CHG3002872_2_DEMAND_del_daily_activity_RDS.sql,RDS,comm-cdwmeta-prod-apac-01,,,
